,Unid. da Federação,Renda per capita,Tem telefone móvel celular,Para acessar à Internet utiliza-se telefone celular,Tem microcomputador,Para acessar à Internet utiliza-se microcomputador,Tem tablet,Para acessar à Internet utiliza-se tablet,Tem acesso à Internet no próprio domicilio,O acesso à Internet é feito através de sinal de rede celular 3G ou 4G,O acesso à Internet é feito através de conexão discada por linha telefônica,O acesso à Internet é feito por banda larga
65387,MG,354.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65394,MG,1054.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65399,MG,412.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65401,MG,1929.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65404,MG,1162.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65405,MG,694.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65406,MG,400.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65409,MG,816.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65410,MG,1175.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65415,MG,925.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65421,MG,497.0,Sim,Sim,Sim,Não,Sim,Não,Sim,Sim,Não,Não
65424,MG,2800.0,Não,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65425,MG,1133.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65429,MG,790.0,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não
65430,MG,433.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65431,MG,596.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65435,MG,819.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65439,MG,500.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65440,MG,762.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65445,MG,712.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim
65446,MG,394.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65450,MG,5750.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65454,MG,1375.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65457,MG,450.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Não,Não,Sim
65459,MG,788.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65461,MG,800.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65462,MG,500.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65463,MG,825.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65466,MG,500.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65467,MG,975.0,Sim,Sim,Não,Não,Sim,Não,Sim,Sim,Não,Não
65468,MG,487.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65470,MG,1320.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65471,MG,533.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65473,MG,408.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Sim
65474,MG,625.0,Sim,Sim,Sim,Sim,Sim,Não,Sim,Sim,Não,Sim
65476,MG,225.0,Sim,Sim,Não,Não,Não,Não,Sim,Sim,Não,Não
65478,MG,1012.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65479,MG,725.0,Sim,Sim,Sim,Não,Não,Não,Sim,Sim,Não,Não
65481,MG,475.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Sim
65482,MG,966.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Sim,Não,Sim
65483,MG,908.0,Sim,Não,Não,Não,Sim,Sim,Sim,Sim,Não,Não
65486,MG,849.0,Não,Não,Não,Não,Sim,Sim,Sim,Não,Não,Sim
65487,MG,1050.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65491,MG,447.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim
65492,MG,1433.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65493,MG,1038.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65496,MG,4300.0,Sim,Sim,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65497,MG,549.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65498,MG,1422.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65499,MG,916.0,Sim,Sim,Sim,Sim,Sim,Sim,Sim,Não,Não,Sim
65502,MG,500.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65503,MG,894.0,Sim,Não,Sim,Sim,Não,Não,Sim,Não,Não,Sim
65504,MG,697.0,Sim,Sim,Não,Não,Sim,Sim,Sim,Não,Não,Sim
